epoch : 1 , 准确率: 87.1600 % ,best acc : 87.1600% ,best epoch : 1 
epoch : 2 , 准确率: 89.2700 % ,best acc : 89.2700% ,best epoch : 2 
epoch : 3 , 准确率: 90.3600 % ,best acc : 90.3600% ,best epoch : 3 
epoch : 4 , 准确率: 89.9700 % ,best acc : 90.3600% ,best epoch : 3 
epoch : 5 , 准确率: 90.5200 % ,best acc : 90.5200% ,best epoch : 5 
epoch : 6 , 准确率: 91.2000 % ,best acc : 91.2000% ,best epoch : 6 
epoch : 7 , 准确率: 91.6500 % ,best acc : 91.6500% ,best epoch : 7 
epoch : 8 , 准确率: 91.1300 % ,best acc : 91.6500% ,best epoch : 7 
epoch : 9 , 准确率: 91.5400 % ,best acc : 91.6500% ,best epoch : 7 
epoch : 10 , 准确率: 91.6400 % ,best acc : 91.6500% ,best epoch : 7 
epoch : 11 , 准确率: 91.8700 % ,best acc : 91.8700% ,best epoch : 11 
epoch : 12 , 准确率: 91.4000 % ,best acc : 91.8700% ,best epoch : 11 
epoch : 13 , 准确率: 91.5900 % ,best acc : 91.8700% ,best epoch : 11 
epoch : 14 , 准确率: 90.9000 % ,best acc : 91.8700% ,best epoch : 11 
epoch : 15 , 准确率: 91.1900 % ,best acc : 91.8700% ,best epoch : 11 
epoch : 16 , 准确率: 91.2300 % ,best acc : 91.8700% ,best epoch : 11 
epoch : 17 , 准确率: 91.3700 % ,best acc : 91.8700% ,best epoch : 11 
epoch : 18 , 准确率: 91.3100 % ,best acc : 91.8700% ,best epoch : 11 
epoch : 19 , 准确率: 90.5400 % ,best acc : 91.8700% ,best epoch : 11 
epoch : 20 , 准确率: 91.5100 % ,best acc : 91.8700% ,best epoch : 11 
epoch : 21 , 准确率: 91.7400 % ,best acc : 91.8700% ,best epoch : 11 
epoch : 22 , 准确率: 90.7000 % ,best acc : 91.8700% ,best epoch : 11 
epoch : 23 , 准确率: 91.1400 % ,best acc : 91.8700% ,best epoch : 11 
epoch : 24 , 准确率: 91.3600 % ,best acc : 91.8700% ,best epoch : 11 
epoch : 25 , 准确率: 91.2100 % ,best acc : 91.8700% ,best epoch : 11 
epoch : 26 , 准确率: 90.7700 % ,best acc : 91.8700% ,best epoch : 11 
epoch : 27 , 准确率: 90.7700 % ,best acc : 91.8700% ,best epoch : 11 
epoch : 28 , 准确率: 91.3300 % ,best acc : 91.8700% ,best epoch : 11 
epoch : 29 , 准确率: 91.1600 % ,best acc : 91.8700% ,best epoch : 11 
epoch : 30 , 准确率: 91.2500 % ,best acc : 91.8700% ,best epoch : 11 
epoch : 31 , 准确率: 91.0700 % ,best acc : 91.8700% ,best epoch : 11 
epoch : 32 , 准确率: 90.9100 % ,best acc : 91.8700% ,best epoch : 11 
epoch : 33 , 准确率: 91.2300 % ,best acc : 91.8700% ,best epoch : 11 
epoch : 34 , 准确率: 90.8100 % ,best acc : 91.8700% ,best epoch : 11 
epoch : 35 , 准确率: 91.0300 % ,best acc : 91.8700% ,best epoch : 11 
epoch : 36 , 准确率: 90.6000 % ,best acc : 91.8700% ,best epoch : 11 
epoch : 37 , 准确率: 91.0000 % ,best acc : 91.8700% ,best epoch : 11 
epoch : 38 , 准确率: 91.0200 % ,best acc : 91.8700% ,best epoch : 11 
epoch : 39 , 准确率: 90.9000 % ,best acc : 91.8700% ,best epoch : 11 
epoch : 40 , 准确率: 90.2600 % ,best acc : 91.8700% ,best epoch : 11 
epoch : 41 , 准确率: 87.9800 % ,best acc : 91.8700% ,best epoch : 11 
epoch : 42 , 准确率: 90.4400 % ,best acc : 91.8700% ,best epoch : 11 
epoch : 43 , 准确率: 91.0800 % ,best acc : 91.8700% ,best epoch : 11 
epoch : 44 , 准确率: 91.1800 % ,best acc : 91.8700% ,best epoch : 11 
epoch : 45 , 准确率: 91.3700 % ,best acc : 91.8700% ,best epoch : 11 
epoch : 46 , 准确率: 91.2400 % ,best acc : 91.8700% ,best epoch : 11 
epoch : 47 , 准确率: 91.3800 % ,best acc : 91.8700% ,best epoch : 11 
epoch : 48 , 准确率: 91.0800 % ,best acc : 91.8700% ,best epoch : 11 
epoch : 49 , 准确率: 91.3500 % ,best acc : 91.8700% ,best epoch : 11 
epoch : 50 , 准确率: 91.3000 % ,best acc : 91.8700% ,best epoch : 11 
epoch : 51 , 准确率: 91.2000 % ,best acc : 91.8700% ,best epoch : 11 
epoch : 52 , 准确率: 91.1600 % ,best acc : 91.8700% ,best epoch : 11 
epoch : 53 , 准确率: 91.2300 % ,best acc : 91.8700% ,best epoch : 11 
epoch : 54 , 准确率: 90.5000 % ,best acc : 91.8700% ,best epoch : 11 
epoch : 55 , 准确率: 90.0700 % ,best acc : 91.8700% ,best epoch : 11 
