epoch : 1 , 准确率: 73.8200 % ,best acc : 73.8200% ,best epoch : 1 
epoch : 2 , 准确率: 76.8300 % ,best acc : 76.8300% ,best epoch : 2 
epoch : 3 , 准确率: 78.6100 % ,best acc : 78.6100% ,best epoch : 3 
epoch : 4 , 准确率: 80.0500 % ,best acc : 80.0500% ,best epoch : 4 
epoch : 5 , 准确率: 81.1500 % ,best acc : 81.1500% ,best epoch : 5 
epoch : 6 , 准确率: 82.2100 % ,best acc : 82.2100% ,best epoch : 6 
epoch : 7 , 准确率: 82.9400 % ,best acc : 82.9400% ,best epoch : 7 
epoch : 8 , 准确率: 83.4700 % ,best acc : 83.4700% ,best epoch : 8 
epoch : 9 , 准确率: 84.0300 % ,best acc : 84.0300% ,best epoch : 9 
epoch : 10 , 准确率: 84.6500 % ,best acc : 84.6500% ,best epoch : 10 
epoch : 11 , 准确率: 85.0100 % ,best acc : 85.0100% ,best epoch : 11 
epoch : 12 , 准确率: 85.3900 % ,best acc : 85.3900% ,best epoch : 12 
epoch : 13 , 准确率: 85.8000 % ,best acc : 85.8000% ,best epoch : 13 
epoch : 14 , 准确率: 85.9700 % ,best acc : 85.9700% ,best epoch : 14 
epoch : 15 , 准确率: 86.4200 % ,best acc : 86.4200% ,best epoch : 15 
epoch : 16 , 准确率: 86.4300 % ,best acc : 86.4300% ,best epoch : 16 
epoch : 17 , 准确率: 86.5400 % ,best acc : 86.5400% ,best epoch : 17 
epoch : 18 , 准确率: 86.9300 % ,best acc : 86.9300% ,best epoch : 18 
epoch : 19 , 准确率: 87.0500 % ,best acc : 87.0500% ,best epoch : 19 
epoch : 20 , 准确率: 87.2600 % ,best acc : 87.2600% ,best epoch : 20 
epoch : 21 , 准确率: 87.3500 % ,best acc : 87.3500% ,best epoch : 21 
epoch : 22 , 准确率: 87.2800 % ,best acc : 87.3500% ,best epoch : 21 
epoch : 23 , 准确率: 87.3500 % ,best acc : 87.3500% ,best epoch : 23 
epoch : 24 , 准确率: 87.6800 % ,best acc : 87.6800% ,best epoch : 24 
epoch : 25 , 准确率: 87.7600 % ,best acc : 87.7600% ,best epoch : 25 
epoch : 26 , 准确率: 87.8900 % ,best acc : 87.8900% ,best epoch : 26 
epoch : 27 , 准确率: 87.9000 % ,best acc : 87.9000% ,best epoch : 27 
epoch : 28 , 准确率: 88.0000 % ,best acc : 88.0000% ,best epoch : 28 
epoch : 29 , 准确率: 88.1600 % ,best acc : 88.1600% ,best epoch : 29 
epoch : 30 , 准确率: 88.0400 % ,best acc : 88.1600% ,best epoch : 29 
epoch : 31 , 准确率: 88.1800 % ,best acc : 88.1800% ,best epoch : 31 
epoch : 32 , 准确率: 88.3200 % ,best acc : 88.3200% ,best epoch : 32 
epoch : 33 , 准确率: 88.3200 % ,best acc : 88.3200% ,best epoch : 33 
epoch : 34 , 准确率: 88.3000 % ,best acc : 88.3200% ,best epoch : 33 
epoch : 35 , 准确率: 88.4800 % ,best acc : 88.4800% ,best epoch : 35 
epoch : 36 , 准确率: 88.5900 % ,best acc : 88.5900% ,best epoch : 36 
epoch : 37 , 准确率: 88.6900 % ,best acc : 88.6900% ,best epoch : 37 
epoch : 38 , 准确率: 88.7000 % ,best acc : 88.7000% ,best epoch : 38 
epoch : 39 , 准确率: 88.7800 % ,best acc : 88.7800% ,best epoch : 39 
epoch : 40 , 准确率: 88.8100 % ,best acc : 88.8100% ,best epoch : 40 
epoch : 41 , 准确率: 88.9000 % ,best acc : 88.9000% ,best epoch : 41 
epoch : 42 , 准确率: 88.9600 % ,best acc : 88.9600% ,best epoch : 42 
epoch : 43 , 准确率: 88.8900 % ,best acc : 88.9600% ,best epoch : 42 
epoch : 44 , 准确率: 89.1800 % ,best acc : 89.1800% ,best epoch : 44 
epoch : 45 , 准确率: 89.2200 % ,best acc : 89.2200% ,best epoch : 45 
epoch : 46 , 准确率: 89.2700 % ,best acc : 89.2700% ,best epoch : 46 
epoch : 47 , 准确率: 89.2700 % ,best acc : 89.2700% ,best epoch : 47 
epoch : 48 , 准确率: 89.3500 % ,best acc : 89.3500% ,best epoch : 48 
epoch : 49 , 准确率: 89.2800 % ,best acc : 89.3500% ,best epoch : 48 
epoch : 50 , 准确率: 89.3500 % ,best acc : 89.3500% ,best epoch : 50 
epoch : 51 , 准确率: 89.1900 % ,best acc : 89.3500% ,best epoch : 50 
epoch : 52 , 准确率: 89.4500 % ,best acc : 89.4500% ,best epoch : 52 
epoch : 53 , 准确率: 89.4200 % ,best acc : 89.4500% ,best epoch : 52 
epoch : 54 , 准确率: 89.5600 % ,best acc : 89.5600% ,best epoch : 54 
epoch : 55 , 准确率: 89.5600 % ,best acc : 89.5600% ,best epoch : 55 
epoch : 56 , 准确率: 89.5700 % ,best acc : 89.5700% ,best epoch : 56 
epoch : 57 , 准确率: 89.3000 % ,best acc : 89.5700% ,best epoch : 56 
epoch : 58 , 准确率: 89.7700 % ,best acc : 89.7700% ,best epoch : 58 
epoch : 59 , 准确率: 89.7900 % ,best acc : 89.7900% ,best epoch : 59 
epoch : 60 , 准确率: 89.7500 % ,best acc : 89.7900% ,best epoch : 59 
epoch : 61 , 准确率: 89.7100 % ,best acc : 89.7900% ,best epoch : 59 
epoch : 62 , 准确率: 89.8500 % ,best acc : 89.8500% ,best epoch : 62 
epoch : 63 , 准确率: 89.7800 % ,best acc : 89.8500% ,best epoch : 62 
epoch : 64 , 准确率: 89.9500 % ,best acc : 89.9500% ,best epoch : 64 
epoch : 65 , 准确率: 89.9400 % ,best acc : 89.9500% ,best epoch : 64 
epoch : 66 , 准确率: 90.0100 % ,best acc : 90.0100% ,best epoch : 66 
epoch : 67 , 准确率: 89.9500 % ,best acc : 90.0100% ,best epoch : 66 
epoch : 68 , 准确率: 89.7600 % ,best acc : 90.0100% ,best epoch : 66 
