epoch : 1 , 准确率: 86.8400 % ,best acc : 86.8400% ,best epoch : 1 
epoch : 2 , 准确率: 88.7700 % ,best acc : 88.7700% ,best epoch : 2 
epoch : 3 , 准确率: 86.2800 % ,best acc : 88.7700% ,best epoch : 2 
epoch : 4 , 准确率: 90.2200 % ,best acc : 90.2200% ,best epoch : 4 
epoch : 5 , 准确率: 87.3900 % ,best acc : 90.2200% ,best epoch : 4 
epoch : 6 , 准确率: 88.1400 % ,best acc : 90.2200% ,best epoch : 4 
epoch : 7 , 准确率: 91.4000 % ,best acc : 91.4000% ,best epoch : 7 
epoch : 8 , 准确率: 90.8000 % ,best acc : 91.4000% ,best epoch : 7 
epoch : 9 , 准确率: 91.7500 % ,best acc : 91.7500% ,best epoch : 9 
epoch : 10 , 准确率: 90.0700 % ,best acc : 91.7500% ,best epoch : 9 
epoch : 11 , 准确率: 90.9200 % ,best acc : 91.7500% ,best epoch : 9 
epoch : 12 , 准确率: 89.5700 % ,best acc : 91.7500% ,best epoch : 9 
epoch : 13 , 准确率: 91.8400 % ,best acc : 91.8400% ,best epoch : 13 
epoch : 14 , 准确率: 91.1900 % ,best acc : 91.8400% ,best epoch : 13 
epoch : 15 , 准确率: 90.7700 % ,best acc : 91.8400% ,best epoch : 13 
epoch : 16 , 准确率: 92.1100 % ,best acc : 92.1100% ,best epoch : 16 
epoch : 17 , 准确率: 91.3500 % ,best acc : 92.1100% ,best epoch : 16 
epoch : 18 , 准确率: 91.8400 % ,best acc : 92.1100% ,best epoch : 16 
epoch : 19 , 准确率: 91.0800 % ,best acc : 92.1100% ,best epoch : 16 
epoch : 20 , 准确率: 91.7700 % ,best acc : 92.1100% ,best epoch : 16 
epoch : 21 , 准确率: 90.2000 % ,best acc : 92.1100% ,best epoch : 16 
epoch : 22 , 准确率: 90.9900 % ,best acc : 92.1100% ,best epoch : 16 
epoch : 23 , 准确率: 91.5800 % ,best acc : 92.1100% ,best epoch : 16 
epoch : 24 , 准确率: 91.1900 % ,best acc : 92.1100% ,best epoch : 16 
epoch : 25 , 准确率: 91.7000 % ,best acc : 92.1100% ,best epoch : 16 
epoch : 26 , 准确率: 90.5500 % ,best acc : 92.1100% ,best epoch : 16 
epoch : 27 , 准确率: 91.6700 % ,best acc : 92.1100% ,best epoch : 16 
epoch : 28 , 准确率: 90.9200 % ,best acc : 92.1100% ,best epoch : 16 
epoch : 29 , 准确率: 91.6100 % ,best acc : 92.1100% ,best epoch : 16 
epoch : 30 , 准确率: 91.3300 % ,best acc : 92.1100% ,best epoch : 16 
epoch : 31 , 准确率: 90.0100 % ,best acc : 92.1100% ,best epoch : 16 
epoch : 32 , 准确率: 89.3200 % ,best acc : 92.1100% ,best epoch : 16 
epoch : 33 , 准确率: 91.7500 % ,best acc : 92.1100% ,best epoch : 16 
epoch : 34 , 准确率: 90.8300 % ,best acc : 92.1100% ,best epoch : 16 
epoch : 35 , 准确率: 91.4500 % ,best acc : 92.1100% ,best epoch : 16 
epoch : 36 , 准确率: 92.1100 % ,best acc : 92.1100% ,best epoch : 36 
epoch : 37 , 准确率: 91.4300 % ,best acc : 92.1100% ,best epoch : 36 
epoch : 38 , 准确率: 91.9800 % ,best acc : 92.1100% ,best epoch : 36 
epoch : 39 , 准确率: 91.4300 % ,best acc : 92.1100% ,best epoch : 36 
epoch : 40 , 准确率: 91.4000 % ,best acc : 92.1100% ,best epoch : 36 
epoch : 41 , 准确率: 91.5700 % ,best acc : 92.1100% ,best epoch : 36 
epoch : 42 , 准确率: 90.9700 % ,best acc : 92.1100% ,best epoch : 36 
epoch : 43 , 准确率: 90.5800 % ,best acc : 92.1100% ,best epoch : 36 
epoch : 44 , 准确率: 90.2600 % ,best acc : 92.1100% ,best epoch : 36 
epoch : 45 , 准确率: 90.6500 % ,best acc : 92.1100% ,best epoch : 36 
epoch : 46 , 准确率: 90.9500 % ,best acc : 92.1100% ,best epoch : 36 
epoch : 47 , 准确率: 91.3600 % ,best acc : 92.1100% ,best epoch : 36 
epoch : 48 , 准确率: 90.8500 % ,best acc : 92.1100% ,best epoch : 36 
epoch : 49 , 准确率: 91.4400 % ,best acc : 92.1100% ,best epoch : 36 
epoch : 50 , 准确率: 90.9100 % ,best acc : 92.1100% ,best epoch : 36 
epoch : 51 , 准确率: 91.5500 % ,best acc : 92.1100% ,best epoch : 36 
epoch : 52 , 准确率: 91.1100 % ,best acc : 92.1100% ,best epoch : 36 
epoch : 53 , 准确率: 91.1300 % ,best acc : 92.1100% ,best epoch : 36 
epoch : 54 , 准确率: 91.0000 % ,best acc : 92.1100% ,best epoch : 36 
epoch : 55 , 准确率: 90.7000 % ,best acc : 92.1100% ,best epoch : 36 
epoch : 56 , 准确率: 91.0000 % ,best acc : 92.1100% ,best epoch : 36 
epoch : 57 , 准确率: 91.5200 % ,best acc : 92.1100% ,best epoch : 36 
epoch : 58 , 准确率: 91.0000 % ,best acc : 92.1100% ,best epoch : 36 
epoch : 59 , 准确率: 90.9600 % ,best acc : 92.1100% ,best epoch : 36 
epoch : 60 , 准确率: 90.8400 % ,best acc : 92.1100% ,best epoch : 36 
epoch : 61 , 准确率: 91.0700 % ,best acc : 92.1100% ,best epoch : 36 
epoch : 62 , 准确率: 91.0000 % ,best acc : 92.1100% ,best epoch : 36 
epoch : 63 , 准确率: 92.0000 % ,best acc : 92.1100% ,best epoch : 36 
epoch : 64 , 准确率: 91.1400 % ,best acc : 92.1100% ,best epoch : 36 
epoch : 65 , 准确率: 91.3800 % ,best acc : 92.1100% ,best epoch : 36 
