epoch : 1 , 准确率: 88.3900 % ,best acc : 88.3900% ,best epoch : 1 
epoch : 2 , 准确率: 89.6000 % ,best acc : 89.6000% ,best epoch : 2 
epoch : 3 , 准确率: 90.8200 % ,best acc : 90.8200% ,best epoch : 3 
epoch : 4 , 准确率: 90.8800 % ,best acc : 90.8800% ,best epoch : 4 
epoch : 5 , 准确率: 91.3200 % ,best acc : 91.3200% ,best epoch : 5 
epoch : 6 , 准确率: 91.1800 % ,best acc : 91.3200% ,best epoch : 5 
epoch : 7 , 准确率: 91.8300 % ,best acc : 91.8300% ,best epoch : 7 
epoch : 8 , 准确率: 91.1100 % ,best acc : 91.8300% ,best epoch : 7 
epoch : 9 , 准确率: 90.8900 % ,best acc : 91.8300% ,best epoch : 7 
epoch : 10 , 准确率: 92.1700 % ,best acc : 92.1700% ,best epoch : 10 
epoch : 11 , 准确率: 91.9100 % ,best acc : 92.1700% ,best epoch : 10 
epoch : 12 , 准确率: 92.1200 % ,best acc : 92.1700% ,best epoch : 10 
epoch : 13 , 准确率: 91.8500 % ,best acc : 92.1700% ,best epoch : 10 
epoch : 14 , 准确率: 91.6400 % ,best acc : 92.1700% ,best epoch : 10 
epoch : 15 , 准确率: 91.8200 % ,best acc : 92.1700% ,best epoch : 10 
epoch : 16 , 准确率: 92.2500 % ,best acc : 92.2500% ,best epoch : 16 
epoch : 17 , 准确率: 91.7200 % ,best acc : 92.2500% ,best epoch : 16 
epoch : 18 , 准确率: 91.7900 % ,best acc : 92.2500% ,best epoch : 16 
epoch : 19 , 准确率: 92.0200 % ,best acc : 92.2500% ,best epoch : 16 
epoch : 20 , 准确率: 92.3700 % ,best acc : 92.3700% ,best epoch : 20 
epoch : 21 , 准确率: 92.4500 % ,best acc : 92.4500% ,best epoch : 21 
epoch : 22 , 准确率: 92.4200 % ,best acc : 92.4500% ,best epoch : 21 
epoch : 23 , 准确率: 92.5900 % ,best acc : 92.5900% ,best epoch : 23 
epoch : 24 , 准确率: 92.5100 % ,best acc : 92.5900% ,best epoch : 23 
epoch : 25 , 准确率: 92.6100 % ,best acc : 92.6100% ,best epoch : 25 
epoch : 26 , 准确率: 92.5600 % ,best acc : 92.6100% ,best epoch : 25 
epoch : 27 , 准确率: 92.4400 % ,best acc : 92.6100% ,best epoch : 25 
epoch : 28 , 准确率: 92.6000 % ,best acc : 92.6100% ,best epoch : 25 
epoch : 29 , 准确率: 92.6300 % ,best acc : 92.6300% ,best epoch : 29 
epoch : 30 , 准确率: 92.7000 % ,best acc : 92.7000% ,best epoch : 30 
epoch : 31 , 准确率: 92.6300 % ,best acc : 92.7000% ,best epoch : 30 
epoch : 32 , 准确率: 92.4700 % ,best acc : 92.7000% ,best epoch : 30 
epoch : 33 , 准确率: 92.6200 % ,best acc : 92.7000% ,best epoch : 30 
epoch : 34 , 准确率: 92.6300 % ,best acc : 92.7000% ,best epoch : 30 
epoch : 35 , 准确率: 92.6400 % ,best acc : 92.7000% ,best epoch : 30 
epoch : 36 , 准确率: 92.5000 % ,best acc : 92.7000% ,best epoch : 30 
epoch : 37 , 准确率: 92.6100 % ,best acc : 92.7000% ,best epoch : 30 
epoch : 38 , 准确率: 92.6400 % ,best acc : 92.7000% ,best epoch : 30 
epoch : 39 , 准确率: 92.6100 % ,best acc : 92.7000% ,best epoch : 30 
epoch : 40 , 准确率: 92.6500 % ,best acc : 92.7000% ,best epoch : 30 
epoch : 41 , 准确率: 92.5000 % ,best acc : 92.7000% ,best epoch : 30 
epoch : 42 , 准确率: 92.6500 % ,best acc : 92.7000% ,best epoch : 30 
epoch : 43 , 准确率: 92.5500 % ,best acc : 92.7000% ,best epoch : 30 
epoch : 44 , 准确率: 92.5900 % ,best acc : 92.7000% ,best epoch : 30 
epoch : 45 , 准确率: 92.6200 % ,best acc : 92.7000% ,best epoch : 30 
epoch : 46 , 准确率: 92.7200 % ,best acc : 92.7200% ,best epoch : 46 
epoch : 47 , 准确率: 92.6100 % ,best acc : 92.7200% ,best epoch : 46 
